mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line
48	47	375/4	375/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	512										99				
48	47	94	94	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	513														
48	47	187/2	187/2	0.0	1/8	1/8	Spanner	2/4	1	2	0																	9	
48	47	187/2	187/2	0.0	1/8	1/8	Spanner	2/4	1	2	0																	9, 10	
48	47	187/2	187/2	1.0	1/8	1/8	Chord	2/4	1	2	1/4		1/4	1	514										100			9, 10	
48	47	189/2	189/2	0.0	3/8	3/8	Spanner	2/4	1	2	0																		
48	47	189/2	189/2	0.0	3/8	3/8	Spanner	2/4	1	2	0																		
48	47	189/2	189/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	515														
48	47	187/2	187/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																		0
48	47	187/2	187/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	516										101				0
48	47	94	94	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	517										101				0
48	47	189/2	189/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	518										101				0
49	48	95	95	0.0	0	0	Spanner	2/4	1	1	0																10		
49	48	95	95	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	519										102		10		
49	48	95	95	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	520										102		10		
49	48	95	95	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	521										102		10		
49	48	383/4	383/4	0.0	3/16	3/16	Spanner	2/4	1	1	0														102				
49	48	383/4	383/4	0.0	3/16	3/16	Spanner	2/4	1	1	0														102			11	
49	48	383/4	383/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	522										102			11	
49	48	96	96	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	523													11	
49	48	191/2	191/2	0.0	1/8	1/8	Spanner	2/4	1	2	0																	11, 12	
49	48	191/2	191/2	1.0	1/8	1/8	Chord	2/4	1	2	1/4		1/4	1	524										103			11, 12	
49	48	193/2	193/2	0.0	3/8	3/8	Spanner	2/4	1	2	0																	11	
49	48	193/2	193/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	525													11	
49	48	95	95	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	526														0
49	48	191/2	191/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	527										104				0
49	48	96	96	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	528										104				0
49	48	193/2	193/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	529										104				0
50	49	97	97	0.0	0	0	Spanner	2/4	1	1	0																		
50	49	97	97	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	530														
50	49	97	97	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	531										105				
50	49	195/2	195/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	532										105				
50	49	391/4	391/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	533										105				
50	49	98	98	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	534										105				
50	49	197/2	197/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	535														
50	49	195/2	195/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	536														
50	49	98	98	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	537														
50	49	197/2	197/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	538														
50	49	97	97	0.0	0	0	StaffText	2/4	2	1	0							calando							104				0
50	49	97	97	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	539										104				0
50	49	195/2	195/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	540														0
50	49	197/2	197/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																		
50	49	197/2	197/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	541										106				
51	50	99	99	0.0	0	0	StaffText	2/4	1	1	0							poco  											
51	50	99	99	0.0	0	0	Dynamic	2/4	1	1	0					pp													
51	50	99	99	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	542														
51	50	100	100	0.0	1/4	1/4	StaffText	2/4	1	1	0							Tempo I											
51	50	100	100	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p													
51	50	100	100	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	543										107				
51	50	201/2	201/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	544										107				
51	50	99	99	0.0	0	0	StaffText	2/4	2	1	0							poco											
51	50	99	99	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	545														
51	50	100	100	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	546										108				
51	50	201/2	201/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	547										108				
52	51	101	101	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	548										107				
52	51	203/2	203/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	549														
52	51	102	102	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	550										109				
52	51	205/2	205/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	551										109				
52	51	101	101	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	552										108				
52	51	203/2	203/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	553														
52	51	102	102	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	554										110				
52	51	205/2	205/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	555										110				
53	52	103	103	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	556										109				
53	52	207/2	207/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	557														
53	52	104	104	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	558										111				
53	52	209/2	209/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	559										111				
53	52	103	103	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	560										110				
53	52	207/2	207/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	561														
53	52	104	104	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	562										112				
53	52	209/2	209/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	563										112				
54	53	105	105	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	564										111				
54	53	105	105	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	565		articTenutoAbove								111				
54	53	106	106	0.0	1/4	1/4	Spanner	2/4	1	1	0																11		
54	53	106	106	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	566										113		11		
54	53	213/2	213/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	567										113		11		
54	53	105	105	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	568												11		
54	53	211/2	211/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	569												11		
54	53	106	106	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	570												11		
54	53	213/2	213/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	571												11		
54	53	105	105	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	572										112				
54	53	211/2	211/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	573														
54	53	106	106	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	574										114				
54	53	213/2	213/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	575										114				
55	54	107	107	0.0	0	0	Spanner	2/4	1	1	0														113				
55	54	107	107	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	576										113				
55	54	215/2	215/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	577										113				
55	54	108	108	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	578										113				
55	54	217/2	217/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	579										113				
55	54	107	107	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	580										114				
55	54	215/2	215/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	581														
55	54	108	108	0.0	1/4	1/4	Spanner	2/4	2	1	0																12		
55	54	108	108	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	582												12		
55	54	217/2	217/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	583												12		
56	55	109	109	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	584										113				
56	55	219/2	219/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	585										113				
56	55	110	110	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	586										113				
56	55	221/2	221/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	587														
56	55	109	109	0.0	0	0	Spanner	2/4	2	1	0																		
56	55	109	109	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	588										115				
56	55	219/2	219/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	589										115				
56	55	110	110	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	590										115				
56	55	221/2	221/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	591										115				
56	55	109	109	0.0	0	0	Dynamic	2/4	2	2	0					p													
56	55	109	109	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	592														
57	56	111	111	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	593														
57	56	112	112	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	594										116				
57	56	225/2	225/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	595										116				
57	56	111	111	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	596										117				
57	56	223/2	223/2	1.0	1/8	1/8	Chord	2/4	1	2	1/4		1/4	1	597										117				
57	56	225/2	225/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	598										117				
57	56	111	111	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	599										115				
57	56	223/2	223/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	600										115				
57	56	112	112	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	601										115				
57	56	225/2	225/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	602										115				
57	56	111	111	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	603														
58	57	113	113	0.0	0	0	StaffText	2/4	1	1	0							pochissimo							116				
58	57	113	113	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	604										116				
58	57	227/2	227/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	605														
58	57	114	114	0.0	1/4	1/4	Dynamic	2/4	1	1	0					mf													
58	57	114	114	0.0	1/4	1/4	Spanner	2/4	1	1	0																13		
58	57	114	114	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	606										118		13		
58	57	229/2	229/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	607										118		13		
58	57	113	113	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	608												13		
58	57	113	113	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	609														
58	57	114	114	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	610										119				
58	57	229/2	229/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	611										119				
59	58	115	115	0.0	0	0	Spanner	2/4	1	1	0														118				
59	58	115	115	0.0	0	0	Spanner	2/4	1	1	0														118			13	
59	58	115	115	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	612										118			13	
59	58	231/2	231/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	613													13	
59	58	116	116	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	614										120			13	
59	58	233/2	233/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	615										120			13	
59	58	115	115	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	616										119				
59	58	231/2	231/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	617														
59	58	116	116	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	618										121				
59	58	233/2	233/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	619										121				
60	59	117	117	0.0	0	0	Spanner	2/4	1	1	0																		
60	59	117	117	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	620														
60	59	117	117	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	621		articTenutoAbove												
60	59	118	118	0.0	1/4	1/4	Spanner	2/4	1	1	0																14		
60	59	118	118	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	622										122		14		
60	59	237/2	237/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	623										122		14		
60	59	117	117	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	624												14		
60	59	235/2	235/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	625												14		
60	59	118	118	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	626												14		
60	59	237/2	237/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	627												14		
60	59	117	117	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	628										121				
60	59	235/2	235/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	629														
60	59	118	118	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	630										123				
60	59	237/2	237/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	631										123				
61	60	119	119	0.0	0	0	Spanner	2/4	1	1	0														122				
61	60	119	119	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	632										122				
61	60	239/2	239/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	633										122				
61	60	120	120	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	634										122				
61	60	241/2	241/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	635										122				
61	60	119	119	0.0	0	0	Dynamic	2/4	2	1	0					f									123				
61	60	119	119	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	636										123				
61	60	239/2	239/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	637														
61	60	120	120	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	638										124				
61	60	241/2	241/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	639										124				
62	61	121	121	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	640										122				
62	61	243/2	243/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	641														
62	61	245/2	245/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	642										125				
62	61	121	121	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	643										124				
62	61	243/2	243/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	644														
62	61	245/2	245/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	645										126				
63	62	123	123	0.0	0	0	StaffText	2/4	1	1	0							molto crescendo											
63	62	123	123	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	646														
63	62	247/2	247/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	647														
63	62	124	124	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	648														
63	62	249/2	249/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	649										127				
63	62	123	123	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	650														
63	62	123	123	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	651										126				
63	62	247/2	247/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	652										126				
63	62	124	124	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	653														
63	62	249/2	249/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	654										128				
64	63	125	125	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	655														
64	63	251/2	251/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	656										129				
64	63	253/2	253/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	657														
64	63	251/2	251/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	658										130				
64	63	126	126	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	659										130				
64	63	253/2	253/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	660														
64	63	125	125	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	661														
64	63	251/2	251/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	662										131				
64	63	126	126	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	663										131				
64	63	253/2	253/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	664										131				
65	64	127	127	0.0	0	0	Spanner	2/4	1	1	0																15		
65	64	127	127	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	665										132		15		
65	64	511/4	511/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	666										132		15		
65	64	128	128	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	667										132		15		
65	64	513/4	513/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	668												15		
65	64	515/4	515/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	669										133		15		
65	64	127	127	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	670														
65	64	255/2	255/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	671										134				
65	64	128	128	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	672										134				
65	64	257/2	257/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	673										134				
65	64	255/2	255/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	674														
65	64	257/2	257/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	675														
66	65	129	129	0.0	0	0	Spanner	2/4	1	1	0																		
66	65	129	129	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	676		articTenutoAbove												
66	65	130	130	0.0	1/4	1/4	Dynamic	2/4	1	1	0					ff													
66	65	130	130	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	677		articTenutoAbove												
66	65	129	129	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	678		articTenutoAbove												
66	65	130	130	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	679														
66	65	261/2	261/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	680										135				
67	66	131	131	0.0	0	0	StaffText	2/4	1	1	0							pesante											
67	66	131	131	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	681		articTenutoBelow												
67	66	132	132	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	682										136				
67	66	531/4	531/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	683										136				
67	66	132	132	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	684														
67	66	131	131	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	685														
67	66	263/2	263/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	686										137				
67	66	132	132	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	687														
67	66	265/2	265/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	688										138				
68	67	133	133	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	689		articTenutoAbove												
68	67	134	134	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	690														
68	67	269/2	269/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	691										139				
68	67	133	133	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	692														
68	67	133	133	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	693														
68	67	267/2	267/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	694										140				
68	67	134	134	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	695														
68	67	269/2	269/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	696										141				
69	68	135	135	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	697														
69	68	271/2	271/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	698										142				
69	68	136	136	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	699										143				
69	68	545/4	545/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	700										143				
69	68	547/4	547/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	701										143				
69	68	136	136	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	702														
69	68	135	135	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	703														
69	68	271/2	271/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	704										144				
69	68	136	136	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	705														
69	68	273/2	273/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	706										145				
70	69	137	137	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	707		articTenutoAbove												
70	69	138	138	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	708										146				
70	69	553/4	553/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	709														
70	69	555/4	555/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	710										147				
70	69	138	138	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	711														
70	69	137	137	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	712														
70	69	275/2	275/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	713										148				
70	69	138	138	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	714														
70	69	277/2	277/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	715										149				
71	70	139	139	0.0	0	0	SystemText	2/4	1	1	0								crescendo										
71	70	139	139	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	716		articTenutoAbove												
71	70	140	140	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	717		articTenutoAbove												
71	70	139	139	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	718														
71	70	279/2	279/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	719														
71	70	140	140	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	720														
71	70	281/2	281/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	721														
71	70	139	139	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	722														
71	70	279/2	279/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	723										150				
71	70	140	140	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	724														
71	70	281/2	281/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	725										151				
72	71	141	141	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	726		articTenutoAbove												
72	71	142	142	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	727										152				
72	71	569/4	569/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	728														
72	71	571/4	571/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	729										153				
72	71	142	142	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	730														
72	71	141	141	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	731														
72	71	283/2	283/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	732										154				
72	71	142	142	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	733														
72	71	285/2	285/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	734										155				
73	72	143	143	0.0	0	0	Dynamic	2/4	1	1	0					ff													
73	72	143	143	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	735		articTenutoAbove												
73	72	144	144	0.0	1/4	1/4	SystemText	2/4	1	1	0								piano										
73	72	144	144	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	736										156				
73	72	577/4	577/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	737														
73	72	579/4	579/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	738										157				
73	72	143	143	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	739										158				
73	72	287/2	287/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	740														
73	72	144	144	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	741														
73	72	143	143	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	742														
73	72	287/2	287/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	743										159				
73	72	144	144	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	744														
73	72	289/2	289/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	745										160				
74	73	145	145	0.0	0	0	Spanner	2/4	1	1	0																16		
74	73	145	145	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	746												16		
74	73	581/4	581/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	747												16		
74	73	583/4	583/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	748												16		
74	73	146	146	0.0	1/4	1/4	StaffText	2/4	1	1	0							cantabile									16		
74	73	146	146	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	749		articTenutoAbove										16		
74	73	145	145	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	750												16		
74	73	146	146	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	751												16		
74	73	145	145	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	752														
74	73	291/2	291/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	753										161				
74	73	146	146	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	754														
74	73	293/2	293/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	755										162				
75	74	147	147	0.0	0	0	Dynamic	2/4	1	1	0					p													
75	74	147	147	0.0	0	0	StaffText	2/4	1	1	0							sostenuto											
75	74	147	147	0.0	0	0	Spanner	2/4	1	1	0																		
75	74	147	147	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	756														
75	74	147	147	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	757														
75	74	148	148	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	758										163				
75	74	593/4	593/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	759										163				
75	74	297/2	297/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	760										163				
75	74	595/4	595/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	761										163				
75	74	297/2	297/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	762										164				
75	74	147	147	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	763														
75	74	295/2	295/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	764										165				
