	composer	piece	title	annotator	meter	tempo	measure	beat	chord	altchord	cadence	pedal	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	global_key	local_key
82	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	23	1.1	V64/VII				V		64		VII		False	f	i
83	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	23	1.2	V/VII[i7										False	f	i
84	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	23	2.1	V64/VII				V		64		VII		False	f	i
85	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	23	2.2	V7(4)/VII				V		7	4	VII		False	f	i
86	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	24	1.1	V64/VII				V		64		VII		False	f	i
87	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	24	1.2	V/VII[v										False	f	i
88	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	24	2.1	V/VII[III										False	f	i
89	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	24	2.2	V7/VII				V		7		VII		False	f	i
90	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	25	1.1	VII\\		IAC		VII						True	f	i
91	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	25	1.2	III				III						False	f	i
92	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	25	2.2	V43(4)/VII				V		43	4	VII		False	f	i
93	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	26	1.1	VII				VII						False	f	i
94	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	26	1.2	VII6				VII		6				False	f	i
95	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	26	2.1	V7/VII				V		7		VII		False	f	i
96	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	27	1.1	v				v						False	f	i
97	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	27	1.2	III				III						False	f	i
98	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	27	2.2	i7	iv7/v			i		7				False	f	i
99	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	28	1.1	v6				v		6				False	f	i
100	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	28	1.2	V7/v				V		7		v		False	f	i
101	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	28	2	v\\		PAC		v						True	f	i
102	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	29	1.1	.v.i				i						False	f	v
103	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	29	1.2	i[ii%7			i	ii	%	7				False	f	v
104	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	29	2	i				i						False	f	v
105	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	30	1.1	iv64				iv		64				False	f	v
106	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	30	1.2	i[V			i	V						False	f	v
107	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	30	2	i				i						False	f	v
108	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	31	1.1	i				i						False	f	v
109	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	31	1.2	i[ii%7			i	ii	%	7				False	f	v
110	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	31	2	i				i						False	f	v
111	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	32	1.1	iv64				iv		64				False	f	v
112	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	32	1.2	i[#viio7			i	#vii	o	7				False	f	v
113	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	32	2.1	i[V			i	V						False	f	v
114	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	32	2.2	i[V7			i	V		7				False	f	v
115	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	33	1.1	i\\		IAC		i						True	f	v
116	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	33	1.2	i[ii%7			i	ii	%	7				False	f	v
117	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	33	2	i				i						False	f	v
118	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	34	1	i				i						False	f	v
119	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	34	2.1	i6				i		6				False	f	v
120	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	34	2.2	IV				IV						False	f	v
121	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	35	1.1	v				v						False	f	v
122	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	35	1.2	#vio6				#vi	o	6				False	f	v
123	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	35	2.2	ii	vii/III			ii						False	f	v
124	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	36	1	III				III						False	f	v
125	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	36	2	V7				V		7				False	f	v
126	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	37	1	i				i						False	f	v
127	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	37	2.1	III6				III		6				False	f	v
128	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	37	2.2	viio/VII				vii	o			VII		False	f	v
